,year,white,black,asian,hispanic,unit
0,1946,11,0,0,0,9
1,1951,41,0,0,0,9
2,1956,71,7,0,0,9
3,1961,93,9,0,0,9
4,1966,137,13,0,0,9
5,1971,172,16,0,1,9
6,1976,194,17,0,5,9
7,1981,198,18,0,7,9
8,1986,182,29,0,13,9
9,1991,216,30,3,27,9
10,1996,264,27,6,54,9
11,2001,261,32,8,87,9
12,2006,251,33,11,93,9
13,2011,252,35,13,111,9
14,2016,223,32,14,118,9
15,2021,124,15,7,68,9
0,1946,7,0,0,0,14
1,1951,23,1,0,0,14
2,1956,45,1,0,0,14
3,1961,58,1,0,2,14
4,1966,92,2,0,7,14
5,1971,113,6,1,11,14
6,1976,136,13,1,24,14
7,1981,141,14,1,39,14
8,1986,141,15,1,56,14
9,1991,162,20,5,78,14
10,1996,177,19,11,111,14
11,2001,168,21,13,129,14
12,2006,153,20,13,141,14
13,2011,129,22,13,142,14
14,2016,114,21,14,131,14
15,2021,74,14,9,76,14
0,1946,14,0,0,0,8
1,1951,46,3,0,0,8
2,1956,90,3,0,0,8
3,1961,123,5,0,0,8
4,1966,220,9,0,7,8
5,1971,279,10,0,8,8
6,1976,305,12,0,8,8
7,1981,312,13,1,11,8
8,1986,293,17,1,16,8
9,1991,280,20,2,23,8
10,1996,256,19,2,22,8
11,2001,181,16,2,22,8
12,2006,117,12,2,18,8
13,2011,60,6,0,14,8
14,2016,21,1,0,1,8
15,2021,0,0,0,0,8
0,1946,5,0,0,0,11
1,1951,22,8,0,0,11
2,1956,52,17,0,0,11
3,1961,68,28,0,0,11
4,1966,97,40,0,2,11
5,1971,121,45,0,4,11
6,1976,134,59,0,7,11
7,1981,127,65,0,5,11
8,1986,106,76,0,7,11
9,1991,91,74,0,8,11
10,1996,77,60,0,13,11
11,2001,55,52,0,14,11
12,2006,43,42,0,12,11
13,2011,34,27,0,10,11
14,2016,7,7,0,3,11
15,2021,0,0,0,0,11
0,1946,7,0,0,0,6
1,1951,19,12,0,0,6
2,1956,37,27,0,0,6
3,1961,50,48,0,0,6
4,1966,70,70,0,0,6
5,1971,79,93,0,1,6
6,1976,91,123,0,2,6
7,1981,88,149,0,4,6
8,1986,75,169,0,5,6
9,1991,61,172,0,5,6
10,1996,50,146,1,4,6
11,2001,42,117,1,6,6
12,2006,32,74,2,6,6
13,2011,13,36,1,5,6
14,2016,2,6,0,2,6
15,2021,0,0,0,0,6
0,1946,3,0,0,0,24
1,1951,17,0,0,0,24
2,1956,39,0,0,2,24
3,1961,53,0,0,2,24
4,1966,93,0,0,3,24
5,1971,128,0,0,3,24
6,1976,147,4,1,6,24
7,1981,160,7,3,7,24
8,1986,148,12,4,16,24
9,1991,149,13,4,18,24
10,1996,135,11,6,17,24
11,2001,111,9,5,17,24
12,2006,75,7,2,12,24
13,2011,34,4,0,9,24
14,2016,5,2,0,4,24
15,2021,0,0,0,0,24
0,1946,5,1,0,0,5
1,1951,23,7,0,0,5
2,1956,32,18,0,1,5
3,1961,43,31,0,1,5
4,1966,67,51,0,1,5
5,1971,86,62,0,1,5
6,1976,98,82,0,2,5
7,1981,97,98,0,2,5
8,1986,85,122,1,3,5
9,1991,82,135,1,3,5
10,1996,64,131,1,4,5
11,2001,53,109,1,5,5
12,2006,41,74,1,6,5
13,2011,23,45,0,2,5
14,2016,6,8,0,0,5
15,2021,0,0,0,0,5
0,1946,5,0,0,0,18
1,1951,29,4,0,0,18
2,1956,68,5,0,0,18
3,1961,97,10,0,0,18
4,1966,178,18,0,2,18
5,1971,256,25,0,3,18
6,1976,290,44,0,8,18
7,1981,312,54,2,11,18
8,1986,302,71,3,14,18
9,1991,292,91,5,17,18
10,1996,256,92,5,16,18
11,2001,191,78,5,13,18
12,2006,118,60,6,10,18
13,2011,55,41,4,6,18
14,2016,14,9,1,2,18
15,2021,0,0,0,0,18
0,1946,4,1,0,0,2
1,1951,14,23,0,0,2
2,1956,26,46,0,1,2
3,1961,39,64,0,1,2
4,1966,62,99,0,1,2
5,1971,72,109,0,1,2
6,1976,80,157,0,5,2
7,1981,77,192,0,5,2
8,1986,75,236,0,4,2
9,1991,72,309,1,7,2
10,1996,89,367,2,23,2
11,2001,88,366,5,27,2
12,2006,76,350,9,34,2
13,2011,76,322,10,40,2
14,2016,66,261,9,45,2
15,2021,29,135,7,29,2
0,1946,5,0,0,0,15
1,1951,12,1,0,0,15
2,1956,33,4,0,0,15
3,1961,40,11,0,0,15
4,1966,64,23,0,0,15
5,1971,80,30,0,2,15
6,1976,96,41,0,2,15
7,1981,100,59,0,3,15
8,1986,87,77,1,3,15
9,1991,95,102,2,8,15
10,1996,114,107,5,20,15
11,2001,132,92,7,33,15
12,2006,136,88,8,47,15
13,2011,198,71,14,88,15
14,2016,186,62,14,86,15
15,2021,96,42,8,48,15
