id,is_male,is_white,is_police_officer,age,resignation_date,complaint_risk,civilian_allegation_risk,current_salary,major_award_count,in_district,in_district_total_population,in_district_black_proportion,in_district_allegation_count,in_district_police_population,in_district_misconduct_rate,in_district_police_white,in_district_police_female
8103,0,0,1,40,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
31406,1,1,1,43,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
8479,1,0,1,54,,1,2,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
31084,1,1,1,47,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
3235,1,1,1,52,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
9742,1,0,1,54,,1,1,90024,2,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
1456,1,1,1,34,,0,0,72510,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
24640,1,0,1,51,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
9800,1,1,1,58,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
31540,1,0,1,44,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
2415,0,1,1,51,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
21999,1,1,1,56,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
18658,0,1,1,46,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
913,1,1,1,57,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
12996,1,1,1,40,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
19885,1,1,0,55,,1,2,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
32123,1,1,1,42,,1,2,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
15133,1,1,1,49,,1,1,93354,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
20276,1,0,1,53,,1,2,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
25026,1,1,0,43,,1,1,117894,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
6019,1,1,0,50,,1,1,121464,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
2697,1,1,0,52,,1,1,121464,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
11875,1,1,0,54,,1,1,121464,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
26536,1,1,0,62,,1,0,121464,2,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
24971,1,1,1,50,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
29176,1,1,1,51,,1,1,93354,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
20818,1,1,0,53,,1,1,121464,1,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
10483,1,0,1,62,,1,1,96060,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
11827,1,1,1,58,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
18312,1,1,1,62,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
5419,1,0,1,42,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
30492,1,1,1,63,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
11700,1,1,0,54,,0,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
8718,1,1,1,40,,0,0,72510,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
25802,1,1,0,54,,1,1,94524,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
6270,1,0,1,52,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
13723,0,0,1,43,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
27625,1,1,1,50,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
5990,1,1,1,43,,1,2,88296,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
826,0,0,1,40,,1,1,87006,1,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
287,1,0,1,51,,1,2,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
25265,1,0,1,50,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
5555,0,0,1,55,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
8586,1,1,0,45,,1,2,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
24593,1,0,1,49,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
14551,1,0,1,51,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
26490,1,0,1,41,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
8028,1,0,1,44,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
4692,1,1,0,55,,1,2,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
18602,1,1,1,49,,1,2,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
