,unit_name,major_award_count,trr_count,unsustained_count,white,black,other,black_dominant_district,non_black_dominant_district,female,male,misconduct_rate_higher_than_11,misconduct_rate_higher_than_25
0,9,0,0,0,1,0,0,1,0,0,1,1,0
1,1,0,0,0,0,1,0,0,1,0,1,0,0
2,2,0,0,0,1,0,0,0,1,0,1,0,0
3,17,0,0,0,1,0,0,0,1,0,1,0,0
4,16,0,0,0,1,0,0,0,1,0,1,0,0
5,16,0,0,0,1,0,0,0,1,0,1,0,0
6,20,0,0,0,1,0,0,0,1,0,1,1,1
7,15,0,0,0,1,0,0,0,1,0,1,0,0
8,16,0,0,1,1,0,0,0,1,0,1,0,0
9,17,0,0,0,1,0,0,0,1,0,1,0,0
10,18,0,6,2,0,1,0,0,1,0,1,0,0
11,17,0,0,0,1,0,0,0,1,0,1,0,0
12,13,0,0,0,0,1,0,0,1,1,0,1,1
13,21,0,0,0,1,0,0,0,1,0,1,1,1
14,18,0,0,0,1,0,0,0,1,0,1,0,0
15,20,0,0,0,1,0,0,0,1,0,1,1,1
16,7,0,0,0,0,1,0,0,1,0,1,0,0
17,7,0,0,0,1,0,0,0,1,0,1,0,0
18,6,0,0,0,0,1,0,0,1,0,1,0,0
19,23,0,0,0,1,0,0,0,1,0,1,1,1
20,25,0,0,0,1,0,0,0,1,0,1,0,0
21,8,0,0,0,1,0,0,1,0,0,1,1,0
22,15,0,0,0,0,1,0,0,1,0,1,0,0
23,10,0,0,0,0,0,1,0,1,0,1,1,0
24,3,0,0,0,1,0,0,0,1,0,1,0,0
25,2,0,0,0,1,0,0,0,1,0,1,0,0
26,18,0,0,0,1,0,0,0,1,0,1,0,0
27,5,0,0,0,0,1,0,0,1,1,0,0,0
28,5,0,0,0,1,0,0,0,1,0,1,0,0
29,18,0,0,0,0,1,0,0,1,0,1,0,0
30,4,0,0,0,1,0,0,0,1,0,1,0,0
31,2,0,0,0,0,1,0,0,1,0,1,0,0
32,14,0,0,0,1,0,0,1,0,0,1,1,0
33,3,0,0,0,0,1,0,0,1,0,1,0,0
34,6,0,0,0,1,0,0,0,1,0,1,0,0
35,1,0,0,0,1,0,0,0,1,0,1,0,0
36,23,0,0,0,1,0,0,0,1,0,1,1,1
37,1,0,0,0,0,1,0,0,1,0,1,0,0
38,2,0,0,0,0,1,0,0,1,0,1,0,0
39,2,0,0,0,1,0,0,0,1,0,1,0,0
40,8,0,0,0,1,0,0,1,0,0,1,1,0
41,6,0,0,0,1,0,0,0,1,0,1,0,0
42,11,0,0,0,1,0,0,1,0,0,1,1,0
43,6,0,0,0,0,1,0,0,1,0,1,0,0
44,8,0,0,0,1,0,0,1,0,0,1,1,0
45,7,0,0,0,1,0,0,0,1,0,1,0,0
46,18,0,0,0,1,0,0,0,1,0,1,0,0
47,19,0,0,0,1,0,0,0,1,0,1,0,0
48,17,0,0,0,1,0,0,0,1,0,1,0,0
49,11,0,0,0,1,0,0,1,0,0,1,1,0
50,15,0,0,0,1,0,0,0,1,0,1,0,0
51,13,0,0,0,1,0,0,0,1,0,1,1,1
52,8,0,0,0,1,0,0,1,0,0,1,1,0
53,5,0,0,0,1,0,0,0,1,0,1,0,0
54,3,0,0,0,0,1,0,0,1,0,1,0,0
55,16,0,2,5,1,0,0,0,1,0,1,0,0
56,6,0,15,28,1,0,0,0,1,0,1,0,0
57,10,1,0,4,0,1,0,0,1,0,1,1,0
58,6,1,1,0,0,1,0,0,1,1,0,0,0
59,15,0,16,12,1,0,0,0,1,0,1,0,0
60,6,0,14,20,0,1,0,0,1,0,1,0,0
61,21,0,1,1,0,0,1,0,1,0,1,1,1
62,6,0,5,10,0,1,0,0,1,0,1,0,0
63,6,0,4,18,0,1,0,0,1,0,1,0,0
64,15,0,0,0,1,0,0,0,1,0,1,0,0
65,24,0,3,6,0,0,1,0,1,0,1,0,0
66,10,1,0,11,0,0,1,0,1,0,1,1,0
67,8,0,5,3,0,1,0,1,0,0,1,1,0
68,4,1,4,49,0,0,1,0,1,0,1,0,0
69,10,1,0,7,1,0,0,0,1,0,1,1,0
70,3,0,0,10,0,1,0,0,1,0,1,0,0
71,3,0,0,7,1,0,0,0,1,0,1,0,0
72,17,0,0,0,1,0,0,0,1,0,1,0,0
73,9,0,0,0,1,0,0,1,0,0,1,1,0
74,25,0,0,22,1,0,0,0,1,0,1,0,0
75,7,0,7,35,0,1,0,0,1,0,1,0,0
76,6,0,2,5,0,1,0,0,1,0,1,0,0
77,19,0,0,3,1,0,0,0,1,0,1,0,0
78,10,1,39,29,0,0,1,0,1,0,1,1,0
79,25,1,7,9,1,0,0,0,1,0,1,0,0
80,19,0,0,4,1,0,0,0,1,0,1,0,0
81,10,1,2,5,1,0,0,0,1,0,1,1,0
82,24,0,0,2,1,0,0,0,1,1,0,0,0
83,25,0,1,7,1,0,0,0,1,1,0,0,0
84,6,0,19,3,0,0,1,0,1,0,1,0,0
85,9,0,0,0,1,0,0,1,0,0,1,1,0
86,6,0,0,0,0,1,0,0,1,0,1,0,0
87,14,0,0,0,1,0,0,1,0,0,1,1,0
88,10,1,1,9,1,0,0,0,1,0,1,1,0
89,10,1,1,4,0,0,1,0,1,0,1,1,0
90,25,0,4,6,0,0,1,0,1,0,1,0,0
91,8,0,5,6,1,0,0,1,0,0,1,1,0
92,6,0,8,56,0,1,0,0,1,0,1,0,0
93,12,0,5,16,1,0,0,0,1,0,1,0,0
94,8,0,6,17,1,0,0,1,0,1,0,1,0
95,8,0,4,4,1,0,0,1,0,0,1,1,0
96,9,0,5,6,1,0,0,1,0,1,0,1,0
97,6,0,5,15,0,1,0,0,1,0,1,0,0
98,24,0,1,2,1,0,0,0,1,0,1,0,0
99,15,0,1,2,0,0,1,0,1,1,0,0,0
100,23,0,0,0,1,0,0,0,1,0,1,1,1
101,11,0,1,8,1,0,0,1,0,0,1,1,0
102,25,0,10,0,1,0,0,0,1,0,1,0,0
103,12,0,3,8,1,0,0,0,1,0,1,0,0
104,6,0,0,0,0,1,0,0,1,0,1,0,0
105,22,0,0,8,1,0,0,0,1,0,1,0,0
106,9,0,0,22,1,0,0,1,0,0,1,1,0
107,15,0,0,0,1,0,0,0,1,0,1,0,0
108,25,0,0,14,1,0,0,0,1,0,1,0,0
109,23,0,0,7,1,0,0,0,1,0,1,1,1
110,15,0,0,2,1,0,0,0,1,0,1,0,0
111,19,0,0,0,1,0,0,0,1,0,1,0,0
112,19,0,0,0,1,0,0,0,1,0,1,0,0
113,5,0,0,0,0,1,0,0,1,0,1,0,0
114,6,0,0,0,0,1,0,0,1,0,1,0,0
115,24,0,0,9,1,0,0,0,1,1,0,0,0
116,14,0,0,0,0,0,1,1,0,0,1,1,0
117,13,0,0,0,0,0,1,0,1,0,1,1,1
118,5,0,0,2,1,0,0,0,1,0,1,0,0
119,4,1,0,1,0,1,0,0,1,0,1,0,0
120,22,0,0,0,1,0,0,0,1,0,1,0,0
121,10,1,0,2,1,0,0,0,1,0,1,1,0
122,7,0,0,6,0,1,0,0,1,0,1,0,0
123,9,0,0,0,1,0,0,1,0,0,1,1,0
124,3,0,0,10,0,1,0,0,1,0,1,0,0
125,2,0,0,2,0,1,0,0,1,0,1,0,0
126,1,0,0,0,0,1,0,0,1,0,1,0,0
127,7,0,0,1,0,1,0,0,1,0,1,0,0
128,24,0,0,0,1,0,0,0,1,0,1,0,0
129,2,0,0,1,0,1,0,0,1,0,1,0,0
130,17,0,0,0,0,1,0,0,1,0,1,0,0
131,3,0,0,0,0,1,0,0,1,1,0,0,0
132,2,0,0,0,0,1,0,0,1,0,1,0,0
133,21,0,0,0,0,1,0,0,1,0,1,1,1
134,19,0,2,5,0,0,1,0,1,0,1,0,0
135,2,0,0,0,1,0,0,0,1,0,1,0,0
136,1,0,0,0,1,0,0,0,1,0,1,0,0
137,7,0,0,3,0,1,0,0,1,1,0,0,0
138,2,0,0,0,0,1,0,0,1,0,1,0,0
139,14,0,0,3,0,0,1,1,0,0,1,1,0
140,16,0,0,0,1,0,0,0,1,0,1,0,0
141,8,0,0,0,1,0,0,1,0,0,1,1,0
142,20,0,0,2,1,0,0,0,1,1,0,1,1
143,13,0,1,1,1,0,0,0,1,1,0,1,1
144,7,0,0,0,1,0,0,0,1,0,1,0,0
145,9,0,0,3,1,0,0,1,0,0,1,1,0
146,6,0,0,0,0,1,0,0,1,0,1,0,0
147,1,0,0,0,1,0,0,0,1,0,1,0,0
148,6,0,0,0,0,1,0,0,1,0,1,0,0
149,13,0,0,0,1,0,0,0,1,0,1,1,1
150,4,1,0,0,1,0,0,0,1,0,1,0,0
151,5,0,0,0,1,0,0,0,1,0,1,0,0
152,6,0,0,0,1,0,0,0,1,0,1,0,0
153,1,0,1,8,1,0,0,0,1,0,1,0,0
154,4,1,0,0,1,0,0,0,1,0,1,0,0
155,3,0,0,1,1,0,0,0,1,0,1,0,0
156,18,0,0,2,1,0,0,0,1,0,1,0,0
157,19,0,0,1,1,0,0,0,1,1,0,0,0
158,23,0,0,0,1,0,0,0,1,0,1,1,1
159,5,0,0,1,1,0,0,0,1,0,1,0,0
160,24,0,3,20,0,1,0,0,1,0,1,0,0
161,18,0,1,4,1,0,0,0,1,0,1,0,0
162,17,0,1,7,1,0,0,0,1,0,1,0,0
163,1,0,0,0,1,0,0,0,1,0,1,0,0
164,11,0,0,0,1,0,0,1,0,0,1,1,0
165,17,2,1,6,1,0,0,0,1,0,1,0,0
166,25,0,0,2,1,0,0,0,1,0,1,0,0
167,5,0,0,1,0,1,0,0,1,0,1,0,0
168,11,0,0,0,1,0,0,1,0,0,1,1,0
169,14,0,0,4,1,0,0,1,0,0,1,1,0
170,5,0,0,0,0,1,0,0,1,0,1,0,0
171,1,0,0,2,1,0,0,0,1,0,1,0,0
172,14,0,0,4,1,0,0,1,0,0,1,1,0
173,14,0,0,25,1,0,0,1,0,1,0,1,0
174,8,0,0,3,1,0,0,1,0,1,0,1,0
175,9,0,0,12,1,0,0,1,0,0,1,1,0
176,5,0,0,11,1,0,0,0,1,0,1,0,0
177,7,0,0,4,1,0,0,0,1,0,1,0,0
178,19,0,0,10,1,0,0,0,1,0,1,0,0
179,12,0,0,5,1,0,0,0,1,0,1,0,0
180,5,0,0,0,1,0,0,0,1,0,1,0,0
181,2,0,0,0,0,1,0,0,1,0,1,0,0
182,5,0,0,2,0,1,0,0,1,0,1,0,0
183,19,0,0,9,1,0,0,0,1,0,1,0,0
184,5,0,0,1,0,1,0,0,1,0,1,0,0
185,10,1,0,4,1,0,0,0,1,0,1,1,0
186,7,0,0,4,1,0,0,0,1,0,1,0,0
187,24,0,0,21,1,0,0,0,1,0,1,0,0
188,20,0,0,7,1,0,0,0,1,1,0,1,1
189,9,0,2,14,1,0,0,1,0,0,1,1,0
190,6,0,0,6,1,0,0,0,1,0,1,0,0
191,5,1,3,25,1,0,0,0,1,0,1,0,0
192,3,0,0,1,0,1,0,0,1,0,1,0,0
193,13,0,0,1,1,0,0,0,1,0,1,1,1
194,22,0,0,6,0,1,0,0,1,0,1,0,0
195,12,0,0,3,0,0,1,0,1,1,0,0,0
196,5,0,0,2,0,1,0,0,1,0,1,0,0
197,10,1,0,3,1,0,0,0,1,0,1,1,0
198,25,0,0,2,1,0,0,0,1,0,1,0,0
199,16,0,0,3,1,0,0,0,1,0,1,0,0
200,6,0,6,7,1,0,0,0,1,0,1,0,0
201,8,0,4,10,1,0,0,1,0,0,1,1,0
202,11,0,0,2,0,1,0,1,0,0,1,1,0
203,1,1,0,7,1,0,0,0,1,0,1,0,0
204,19,0,0,4,1,0,0,0,1,0,1,0,0
205,1,0,9,19,1,0,0,0,1,0,1,0,0
206,22,0,0,5,1,0,0,0,1,0,1,0,0
207,10,1,0,1,0,0,1,0,1,0,1,1,0
208,23,0,0,5,1,0,0,0,1,0,1,1,1
209,12,0,0,7,1,0,0,0,1,0,1,0,0
210,5,2,0,3,0,0,1,0,1,0,1,0,0
211,4,1,0,4,1,0,0,0,1,0,1,0,0
