,unit_name,major_award_count,trr_count,unsustained_count,white,black,other,black_dominant_district,non_black_dominant_district,female,male,misconduct_rate_higher_than_11,misconduct_rate_level
0,9,0,0,0,1,0,0,1,0,0,1,0,medium
1,1,0,0,0,0,1,0,0,1,0,1,0,low
2,2,0,0,0,1,0,0,0,1,0,1,0,low
3,17,0,0,0,1,0,0,0,1,0,1,0,low
4,16,0,0,0,1,0,0,0,1,0,1,0,low
5,16,0,0,0,1,0,0,0,1,0,1,0,low
6,20,0,0,0,1,0,0,0,1,0,1,0,high
7,15,0,0,0,1,0,0,0,1,0,1,0,low
8,16,0,0,1,1,0,0,0,1,0,1,0,low
9,17,0,0,0,1,0,0,0,1,0,1,0,low
10,18,0,6,2,0,1,0,0,1,0,1,0,low
11,17,0,0,0,1,0,0,0,1,0,1,0,low
12,13,0,0,0,0,1,0,0,1,1,0,0,high
13,21,0,0,0,1,0,0,0,1,0,1,0,high
14,18,0,0,0,1,0,0,0,1,0,1,0,low
15,20,0,0,0,1,0,0,0,1,0,1,0,high
16,7,0,0,0,0,1,0,0,1,0,1,0,low
17,7,0,0,0,1,0,0,0,1,0,1,0,low
18,6,0,0,0,0,1,0,0,1,0,1,0,low
19,23,0,0,0,1,0,0,0,1,0,1,0,high
20,25,0,0,0,1,0,0,0,1,0,1,0,low
21,8,0,0,0,1,0,0,1,0,0,1,0,medium
22,15,0,0,0,0,1,0,0,1,0,1,0,low
23,10,0,0,0,0,0,1,0,1,0,1,0,medium
24,3,0,0,0,1,0,0,0,1,0,1,0,low
25,2,0,0,0,1,0,0,0,1,0,1,0,low
26,18,0,0,0,1,0,0,0,1,0,1,0,low
27,5,0,0,0,0,1,0,0,1,1,0,0,low
28,5,0,0,0,1,0,0,0,1,0,1,0,low
29,18,0,0,0,0,1,0,0,1,0,1,0,low
30,4,0,0,0,1,0,0,0,1,0,1,0,low
31,2,0,0,0,0,1,0,0,1,0,1,0,low
32,14,0,0,0,1,0,0,1,0,0,1,0,medium
33,3,0,0,0,0,1,0,0,1,0,1,0,low
34,6,0,0,0,1,0,0,0,1,0,1,0,low
35,1,0,0,0,1,0,0,0,1,0,1,0,low
36,23,0,0,0,1,0,0,0,1,0,1,0,high
37,1,0,0,0,0,1,0,0,1,0,1,0,low
38,2,0,0,0,0,1,0,0,1,0,1,0,low
39,2,0,0,0,1,0,0,0,1,0,1,0,low
40,8,0,0,0,1,0,0,1,0,0,1,0,medium
41,6,0,0,0,1,0,0,0,1,0,1,0,low
42,11,0,0,0,1,0,0,1,0,0,1,0,medium
43,6,0,0,0,0,1,0,0,1,0,1,0,low
44,8,0,0,0,1,0,0,1,0,0,1,0,medium
45,7,0,0,0,1,0,0,0,1,0,1,0,low
46,18,0,0,0,1,0,0,0,1,0,1,0,low
47,19,0,0,0,1,0,0,0,1,0,1,0,low
48,17,0,0,0,1,0,0,0,1,0,1,0,low
49,11,0,0,0,1,0,0,1,0,0,1,0,medium
50,15,0,0,0,1,0,0,0,1,0,1,0,low
51,13,0,0,0,1,0,0,0,1,0,1,0,high
52,8,0,0,0,1,0,0,1,0,0,1,0,medium
53,5,0,0,0,1,0,0,0,1,0,1,0,low
54,3,0,0,0,0,1,0,0,1,0,1,0,low
55,16,0,2,5,1,0,0,0,1,0,1,0,low
56,6,0,15,28,1,0,0,0,1,0,1,0,low
57,10,1,0,4,0,1,0,0,1,0,1,0,medium
58,6,1,1,0,0,1,0,0,1,1,0,0,low
59,15,0,16,12,1,0,0,0,1,0,1,0,low
60,6,0,14,20,0,1,0,0,1,0,1,0,low
